a;а
abandon;отказаться
ability;способность
able;способный
abolish;отменить
abortion;аборт
about;около
above;над
abroad;за рубежом
absence;отсутствие
absent;отсутствует
absolute;абсолютный
absolutely;абсолютно
absorb;впитывать
abstract;абстрактный
absurd;абсурдный
abundance;изобилие
abuse;злоупотребление
academic;академический
academy;академия
accelerate;ускоряться
accent;акцент
accept;принять
acceptable;приемлемый
acceptance;принятие
access;доступ
accessible;доступный
accident;авария
accidentally;случайно
accommodate;приспособить
accommodation;проживание
accompany;сопровождать
accomplish;выполнить
accomplishment;достижение
accordance;соответствие
according to;согласно с
accordingly;соответственно
account;Счет
accountability;ответственность
accountable;подотчетный
accountant;бухгалтер
accumulate;накапливать
accumulation;накопление
accuracy;точность
accurate;точный
accurately;точно
accusation;обвинение
accuse;обвинять
accused;обвиняемый
achieve;достичь
achievement;достижение
acid;кислота
acknowledge;признать
acquire;приобретать
acquisition;получение
acre;акр
across;через
act;действовать
action;действие
activate;активировать
activation;активация
active;активный
activist;активист
activity;деятельность
actor;актер
actress;актриса
actual;актуальный
actually;фактически
acute;острый
ad;объявление
adapt;адаптироваться
adaptation;приспособление
add;добавлять
addiction;зависимость
addition;дополнение
additional;дополнительный
additionally;дополнительно
address;адрес
adequate;адекватный
adequately;адекватно
adhere;придерживаться
adjacent;смежный
adjust;отрегулировать
adjustment;корректировка
administer;управлять
administration;администрация
administrative;административный
administrator;администратор
admire;восхищаться
admission;прием
admit;признаться
adolescent;подросток
adopt;принять
adoption;принятие
adult;взрослый
advance;продвижение
advanced;продвинутый
advantage;преимущество
adventure;приключение
adverse;неблагоприятный
advertise;рекламировать
advertisement;рекламное объявление
advertising;реклама
advice;совет
advise;консультировать
advocate;защищать
aesthetic;эстетический
affair;дело
affect;влиять
affection;привязанность
afford;позволить себе
affordable;доступный
afraid;боюсь
after;после
aftermath;последствия
afternoon;после полудня
afterwards;потом
again;еще раз
against;против
age;возраст
aged;в возрасте
agency;агентство
agenda;повестка дня
agent;агент
aggression;агрессия
aggressive;агрессивный
ago;тому назад
agree;согласны
agreement;соглашение
agricultural;сельскохозяйственный
agriculture;сельское хозяйство
ah;ах
ahead;впереди
aid;помощь
aide;помощник
AIDS;СПИД
aim;цель
air;воздух
aircraft;самолет
airline;авиакомпания
airport;аэропорт
alarm;тревога
albeit;хотя
album;альбом
alcohol;алкоголь
alcoholic;алкоголик
alert;предупреждение
alien;иностранец
align;выровнять
alignment;выравнивание
alike;одинаково
alive;в живых
all;все
all right;отлично
allegation;утверждение
allege;утверждать
allegedly;якобы
alliance;союз
allocate;выделить
allocation;распределение
allow;позволять
allowance;пособие
ally;союзник
almost;почти
alone;в одиночестве
along;вместе
alongside;рядом
already;уже
also;также
alter;изменить
alternative;альтернатива
although;хотя
altogether;в целом
aluminium;алюминий
always;всегда
amateur;любитель
amazed;поражен
amazing;удивительный
ambassador;посол
ambition;амбиция
ambitious;честолюбивый
ambulance;скорая помощь
amend;поправить
amendment;поправка
amid;среди
among;среди
amount;количество
amusing;забавный
analogy;аналогия
analyse;анализировать
analysis;анализ
analyst;аналитик
ancestor;предок
anchor;якорь
ancient;древний
and;а также
angel;ангел
anger;гнев
angle;угол
angry;сердитый
animal;животное
animation;анимация
ankle;лодыжка
anniversary;Годовщина
announce;объявить
announcement;объявление
annoy;раздражать
annoyed;раздраженный
annoying;раздражает
annual;годовой
annually;ежегодно
anonymous;анонимный
another;еще один
answer;ответ
anticipate;предвидеть
anxiety;беспокойство
anxious;тревожный
any;любой
any more;больше
anybody;кто-нибудь
anyone;кто угодно
anything;что-нибудь
anyway;тем не мение
anywhere;куда угодно
apart;отдельно
apartment;квартира
apologize;принести извинения
apology;извинения
app;приложение
apparatus;аппарат
apparent;очевидный
apparently;по-видимому
appeal;обращение
appealing;привлекательный
appear;появиться
appearance;внешний вид
appetite;аппетит
applaud;аплодировать
apple;яблоко
applicable;применимый
applicant;заявитель
application;заявление
apply;применять
appoint;назначать
appointment;деловое свидание, встреча
appreciate;ценить
appreciation;признательность
approach;подходить
appropriate;подходящее
appropriately;соответственно
approval;одобрение
approve;утвердить
approximately;примерно
April;апрель
arbitrary;произвольный
architect;архитектор
architectural;архитектурный
architecture;архитектура
archive;архив
area;площадь
arena;арена
arguably;возможно
argue;спорить
argument;аргумент
arise;возникать
arm;рука
armed;вооруженный
arms;руки
army;армия
around;около
arrange;устроить
arrangement;договоренность
array;массив
arrest;арестовать
arrival;прибытие
arrive;прибыть
arrow;стрела
art;искусство
article;статья
articulate;сформулировать
artificial;искусственный
artist;художник
artistic;артистический
artwork;произведение искусства
as;как
ash;ясень
ashamed;стыдно
aside;в стороне
ask;просить
asleep;спит
aspect;аспект
aspiration;стремление
aspire;стремиться
assassination;убийство
assault;нападение
assemble;собрать
assembly;сборка
assert;утверждать
assertion;утверждение
assess;оценивать
assessment;оценка
asset;актив
assign;назначать
assignment;назначение
assist;помогать
assistance;помощь
assistant;помощник
associate;ассоциировать
associated;связанный
association;ассоциация
assume;предполагать
assumption;предположение
assurance;гарантия
assure;уверять
astonishing;удивительно
asylum;убежище
at;в
athlete;спортсмен
atmosphere;атмосфера
atrocity;зверство
attach;прикреплять
attachment;привязанность
attack;атака
attain;достичь
attempt;попытка
attend;присутствовать
attendance;посещаемость
attention;внимание
attitude;отношение
attorney;поверенный
attract;привлекать
attraction;Привлечение
attractive;привлекательный
attribute;атрибут
auction;аукцион
audience;зрительская аудитория
audio;аудио
audit;аудит
August;Август
aunt;тетя
authentic;подлинный
author;автор
authority;власть
authorize;разрешить
auto;авто
automatic;автоматический
automatically;автоматически
autonomy;автономия
autumn;осень
availability;доступность
available;доступный
average;средний
avoid;избегать
await;Ждите
award;награда
aware;осведомленный
awareness;осведомленность
away;далеко
awful;ужасно
awkward;неловко
baby;детка
back;назад
backdrop;фон
background;задний план
backing;поддержка
backup;резервное копирование
backwards;назад
bacteria;бактерии
bad;Плохо
badge;значок
badly;плохо
bag;мешок
bail;залог
bake;печь
balance;баланс
balanced;сбалансированный
ball;мяч
ballet;балет
balloon;воздушный шар
ballot;бюллетень
ban;запретить
banana;банан
band;группа
bank;банка
banner;знамя
bar;бар
bare;голый
barely;едва
bargain;торговаться
barrel;бочка
barrier;барьер
base;основание
baseball;бейсбол
based;исходя из
basement;подвал
basic;основной
basically;в основном
basis;основа
basket;корзина
basketball;баскетбол
bass;бас
bat;летучая мышь
bath;ванна
bathroom;ванная
battery;аккумулятор
battle;боевой
battlefield;поле боя
bay;залив
be;быть
be auxiliary;быть вспомогательным
beach;пляж
beam;луч
bean;фасоль
bear;нести
beast;зверь
beat;бить
beautiful;красивая
beauty;красота
because;потому как
become;стать
bed;постель
bedroom;спальная комната
bee;пчела
beef;говядина
beer;пиво
before;перед
beg;просить
begin;начать
beginning;начало
behalf;от имени
behave;вести себя
behaviour;поведение
behind;за
being;будучи
belief;вера
believe;верить
bell;колокол
belong;принадлежать
beloved;любимый
below;ниже
belt;пояс
bench;скамейка
benchmark;ориентир
bend;сгибаться
beneath;под
beneficial;полезный
beneficiary;бенефициар
benefit;польза
bent;согнутый
beside;рядом
besides;Кроме
best;Лучший
bet;делать ставку
betray;предавать
better;лучше
between;между
beyond;за пределами
bias;предвзятость
bicycle;велосипед
bid;ставка
big;большой
bike;велосипед
bill;счет
billion;миллиард
bin;мусорное ведро
bind;связывать
biography;биография
biological;биологический
biology;биология
bird;птица
birth;рождение
birthday;день рождения
biscuit;печенье
bishop;епископ
bit;немного
bite;кусать
bitter;горький
bizarre;причудливый
black;черный
blade;лезвие
blame;винить
blank;пустой
blanket;одеяло
blast;взрыв
bleed;кровоточить
blend;смесь
bless;благослови
blessing;благословение
blind;слепой
block;блокировать
blog;блог
blonde;блондинка
blood;кровь
blow;дуть
blue;синий
board;доска
boast;хвастаться
boat;лодка
body;тело
boil;кипятить
bold;жирный
bomb;бомбить
bombing;бомбардировка
bond;связь
bone;кость
bonus;бонус
book;книга
booking;бронирование
boom;бум
boost;увеличение
boot;ботинок
border;граница
bored;скучно
boring;скучный
born;родившийся
borrow;одолжить
boss;босс
both;обе
bother;беспокоить
bottle;бутылка
bottom;дно
bounce;подпрыгивать
bound;связанный
boundary;граница
bow;лук
bowl;миска
box;коробка
boy;мальчик
boyfriend;дружок
brain;головной мозг
branch;ветвь
brand;марка
brave;Храбрый
breach;нарушение
bread;хлеб
break;сломать
breakdown;сломать
breakfast;завтрак
breakthrough;прорыв, достижение, открытие
breast;грудь
breath;дыхание
breathe;дышать
breathing;дыхание
breed;порода
brick;кирпич
bride;невеста
bridge;мост
brief;краткий
briefly;кратко
bright;яркий
brilliant;блестящий
bring;принести
broad;широкий
broadband;широкополосный
broadcast;трансляция
broadcaster;телеведущий
broadly;широко
broken;сломанный
brother;брат
brown;коричневый
browser;браузер
brush;щетка
brutal;жестокий
bubble;пузырь
buck;доллар
buddy;приятель
budget;бюджет
buffer;буфер
bug;ошибка
build;строить
building;здание
bulk;масса
bullet;пуля
bunch;связка
burden;бремя
bureaucracy;бюрократия
burial;захоронение
burn;сжечь
burst;взрыв
bury;похоронить
bus;автобус
bush;куст
business;бизнес
businessman;бизнесмен
busy;занятый
but;но
butter;масло
button;кнопка
buy;купить
by;по
bye;пока
cabin;салон самолета
cabinet;кабинет
cable;кабель
cafe;кафе
cake;кекс
calculate;вычислить
calculation;расчет
call;вызов
calm;спокойствие
camera;камера
camp;лагерь
campaign;кампания
camping;поход
campus;кампус
can;Можно
can modal;может модальный
canal;канал
cancel;Отмена
cancer;рак
candidate;кандидат
candle;свеча
cannot modal;не может модально
canvas;холст
cap;колпачок
capability;способность
capable;способный
capacity;вместимость
capital;капитал
capitalism;капитализм
capitalist;капиталист
captain;капитан
capture;захватить
car;машина
carbon;углерод
card;карта
care;забота
career;карьера
careful;осторожный
carefully;внимательно
careless;небрежный
cargo;груз
carpet;ковровая дорожка
carriage;перевозки
carrot;морковь
carry;нести
cartoon;мультфильм
carve;вырезать
case;кейс
cash;наличные
casino;казино
cast;бросать
castle;замок
casual;повседневная
casualty;несчастный случай
cat;кошка
catalogue;каталог
catch;улов
category;категория
cater;обслужить
cattle;крупный рогатый скот
cause;причина
caution;осторожность
cautious;осторожный
cave;пещера
CD;CD
cease;прекратить
ceiling;потолок
celebrate;праздновать
celebration;празднование
celebrity;знаменитость
cell;ячейка
cemetery;кладбище
cent;цент
central;центральный
centre;центр
century;век
ceremony;церемония
certain;определенный
certainly;конечно
certainty;уверенность
certificate;свидетельство
chain;цепь
chair;стул
chairman;председатель
challenge;вызов
challenging;испытывающий
chamber;камера
champion;чемпион
championship;чемпионат
chance;шанс
change;менять
channel;канал
chaos;хаос
chapter;глава
character;характер
characteristic;характерная черта
characterize;охарактеризовать
charge;обвинять
charity;благотворительность
charm;очарование
charming;очаровательный
chart;диаграмма
charter;устав
chase;гнаться
chat;болтать
cheap;дешево
cheat;обман
check;проверить
cheek;щека
cheer;приветствовать
cheerful;веселый
cheese;сыр
chef;повар
chemical;химический
chemistry;химия
chest;грудь
chicken;курица
chief;начальник
child;ребенок
childhood;детство
chip;чип
chocolate;шоколад
choice;выбор
choir;хор
choose;выберите
chop;рубить
chronic;хронический
chunk;кусок
church;церковь
cigarette;сигарета
cinema;кинотеатр
circle;круг
circuit;цепь
circulate;распространять
circulation;обращение
circumstance;обстоятельство
cite;цитировать
citizen;гражданин
citizenship;гражданство
city;город
civic;гражданский
civil;гражданский
civilian;гражданское лицо
civilization;цивилизация
claim;Запрос
clarify;уточнить
clarity;ясность
clash;столкновение
class;учебный класс
classic;классический
classical;классический
classification;классификация
classify;классифицировать
classroom;школьный класс
clause;пункт
clean;чистый
clear;Чисто
clearly;ясно
clerk;клерк
clever;умная
click;щелкнуть
client;клиент
cliff;обрыв
climate;климат
climb;подняться
cling;цепляться
clinic;клиника
clinical;клинический
clip;зажим
clock;Часы
close;Закрыть
closed;закрыто
closely;близко
closure;закрытие
cloth;ткань
clothes;одежда
clothing;одежда
cloud;облако
club;клуб
clue;Подсказка
cluster;кластер
coach;тренер
coal;уголь
coalition;коалиция
coast;побережье
coastal;прибрежный
coat;Пальто
cocktail;коктейль
code;код
coffee;кофе
cognitive;познавательный
coin;монета
coincide;совпадать
coincidence;совпадение
cold;холодный
collaborate;сотрудничать
collaboration;сотрудничество
collapse;коллапс
colleague;коллега
collect;собирать
collection;коллекция
collective;коллектив
collector;коллекционер
college;колледж
collision;столкновение
colonial;колониальный
colony;колония
colour;цвет
coloured;цветной
colourful;красочный
column;столбец
columnist;обозреватель
combat;бой
combination;сочетание
combine;комбинировать
come;приходить
comedy;комедия
comfort;комфорт
comfortable;удобный
comic;комический
command;команда
commander;командир
commence;начинать
comment;комментарий
commentary;комментарий
commentator;комментатор
commerce;коммерция
commercial;коммерческий
commission;комиссия
commissioner;комиссар
commit;совершить
commitment;обязательство
committee;комитет
commodity;товар
common;общий
commonly;обычно
communicate;общаться
communication;общение
communist;коммунист
community;сообщество
companion;товарищ
company;Компания
comparable;сопоставимый
comparative;сравнительный
compare;сравнить
comparison;сравнение
compassion;сострадание
compel;принуждать
compelling;убедительный
compensate;компенсировать
compensation;компенсация
compete;конкурировать
competence;компетентность
competent;компетентный
competition;конкуренция
competitive;конкурентоспособный
competitor;конкурент
compile;компилировать
complain;жаловаться
complaint;жалоба
complement;дополнять
complete;полный
completely;полностью
completion;завершение
complex;сложный
complexity;сложность
compliance;соответствие
complicated;сложный
complication;осложнение
comply;подчиняться
component;составная часть
compose;сочинять
composer;композитор
composition;сочинение
compound;соединение
comprehensive;всеобъемлющий
comprise;включать
compromise;компромисс
compulsory;обязательный
compute;вычислить
computer;компьютер
conceal;скрывать
concede;уступать
conceive;зачать
concentrate;концентрировать
concentration;концентрация
concept;концепция
conception;зачатие
concern;беспокойство
concerned;обеспокоенный
concert;концерт
concession;уступка
conclude;заключить
conclusion;вывод
concrete;бетон
condemn;осуждать
condition;состояние
conduct;провести
confer;совещаться
conference;конференция
confess;признаться
confession;признание
confidence;уверенность
confident;уверенный
configuration;конфигурация
confine;ограничивать
confirm;подтвердить
confirmation;подтверждение
conflict;конфликт
confront;противостоять
confrontation;конфронтация
confuse;путать
confused;смущенный
confusing;сбивает с толку
confusion;спутанность сознания
congratulate;поздравляют
congregation;община
congressional;конгрессмен
connect;подключиться
connected;связано
connection;связь
conquer;завоевать
conscience;совесть
conscious;сознательный
consciousness;сознание
consecutive;последовательный
consensus;консенсус
consent;согласие
consequence;следствие
consequently;как следствие
conservation;сохранение
conservative;консервативный
conserve;сохранить
consider;рассмотреть возможность
considerable;значительный
considerably;значительно
consideration;рассмотрение
consist;состоять
consistency;последовательность
consistent;последовательный
consistently;последовательно
consolidate;консолидировать
conspiracy;заговор
constant;постоянный
constantly;постоянно
constituency;округ
constitute;составлять
constitution;конституция
constitutional;конституционный
constraint;ограничение
construct;строить
construction;строительство
consult;консультироваться
consultant;консультант
consultation;консультация
consume;потреблять
consumer;потребитель
consumption;потребление
contact;контакт
contain;содержать
container;контейнер
contemplate;созерцать
contemporary;современный
contempt;презрение
contend;бороться
contender;соперник
content;содержание
contention;раздор
contest;соревнование
context;контекст
continent;континент
continually;постоянно
continue;Продолжать
continuous;непрерывный
contract;договор
contractor;подрядчик
contradiction;противоречие
contrary;наоборот
contrast;контраст
contribute;делать вклад
contribution;вклад
contributor;участник
control;контроль
controversial;противоречивый
controversy;полемика
convenience;удобство
convenient;удобный
convention;соглашение
conventional;обычный
conversation;разговор
conversion;преобразование
convert;перерабатывать
convey;передать
convict;осужденный
conviction;убежденность
convince;убедить
convinced;убежден
convincing;убедительный
cook;готовить пищу
cooker;плита
cooking;приготовление еды
cool;прохладный
cooperate;сотрудничать
cooperative;кооператив
coordinate;координировать
coordination;координация
coordinator;координатор
cop;полицейский
cope;справиться
copper;медь
copy;копировать
copyright;Авторские права
core;ядро
corner;угол
corporate;корпоративный
corporation;корпорация
correct;верный
correction;исправление
correctly;правильно
correlate;соотносить
correlation;корреляция
correspond;соответствовать
correspondence;переписка
correspondent;корреспондент
corresponding;соответствующий
corridor;коридор
corrupt;испорченный
corruption;коррупция
cost;Стоимость
costly;дорогостоящий
costume;костюм
cottage;коттедж
cotton;хлопок
could modal;может модальный
council;совет
councillor;советник
counselling;консультирование
counsellor;советник
count;считать
counter;счетчик
counterpart;двойник
countless;бесчисленное множество
country;страна
countryside;сельская местность
county;округ
coup;переворот
couple;пара
courage;смелость
course;курс
court;суд
courtesy;любезность
cousin;двоюродный брат
cover;обложка
coverage;покрытие
covered;покрытый
cow;корова
crack;трещина
craft;ремесло
